id,label
LMEAluminium-validation-1d-2018-02-26,1
LMEAluminium-validation-1d-2018-02-27,0
LMEAluminium-validation-1d-2018-02-28,0
LMEAluminium-validation-1d-2018-03-01,0
LMEAluminium-validation-1d-2018-03-02,0
LMEAluminium-validation-1d-2018-03-05,0
LMEAluminium-validation-1d-2018-03-06,0
LMEAluminium-validation-1d-2018-03-07,1
LMEAluminium-validation-1d-2018-03-08,1
LMEAluminium-validation-1d-2018-03-09,0
LMEAluminium-validation-1d-2018-03-12,1
LMEAluminium-validation-1d-2018-03-13,0
LMEAluminium-validation-1d-2018-03-14,0
LMEAluminium-validation-1d-2018-03-15,1
LMEAluminium-validation-1d-2018-03-16,1
LMEAluminium-validation-1d-2018-03-19,0
LMEAluminium-validation-1d-2018-03-20,1
LMEAluminium-validation-1d-2018-03-21,0
LMEAluminium-validation-1d-2018-03-22,0
LMEAluminium-validation-1d-2018-03-23,0
LMEAluminium-validation-1d-2018-03-26,0
LMEAluminium-validation-1d-2018-03-27,0
LMEAluminium-validation-1d-2018-03-28,0
LMEAluminium-validation-1d-2018-03-29,0
LMEAluminium-validation-1d-2018-04-03,1
LMEAluminium-validation-1d-2018-04-04,1
LMEAluminium-validation-1d-2018-04-05,1
LMEAluminium-validation-1d-2018-04-06,1
LMEAluminium-validation-1d-2018-04-09,1
LMEAluminium-validation-1d-2018-04-10,1
LMEAluminium-validation-1d-2018-04-11,1
LMEAluminium-validation-1d-2018-04-12,0
LMEAluminium-validation-1d-2018-04-13,1
LMEAluminium-validation-1d-2018-04-16,0
LMEAluminium-validation-1d-2018-04-17,1
LMEAluminium-validation-1d-2018-04-18,0
LMEAluminium-validation-1d-2018-04-19,0
LMEAluminium-validation-1d-2018-04-20,0
LMEAluminium-validation-1d-2018-04-23,0
LMEAluminium-validation-1d-2018-04-24,1
LMEAluminium-validation-1d-2018-04-25,1
LMEAluminium-validation-1d-2018-04-26,0
LMEAluminium-validation-1d-2018-04-27,1
LMEAluminium-validation-1d-2018-04-30,1
LMEAluminium-validation-1d-2018-05-01,1
LMEAluminium-validation-1d-2018-05-02,0
LMEAluminium-validation-1d-2018-05-03,1
LMEAluminium-validation-1d-2018-05-04,1
LMEAluminium-validation-1d-2018-05-08,0
LMEAluminium-validation-1d-2018-05-09,0
LMEAluminium-validation-1d-2018-05-10,0
LMEAluminium-validation-1d-2018-05-11,1
LMEAluminium-validation-1d-2018-05-14,1
LMEAluminium-validation-1d-2018-05-15,1
LMEAluminium-validation-1d-2018-05-16,0
LMEAluminium-validation-1d-2018-05-17,0
LMEAluminium-validation-1d-2018-05-18,1
LMEAluminium-validation-1d-2018-05-21,0
LMEAluminium-validation-1d-2018-05-22,1
LMEAluminium-validation-1d-2018-05-23,1
LMEAluminium-validation-1d-2018-05-24,0
LMEAluminium-validation-1d-2018-05-25,1
LMEAluminium-validation-1d-2018-05-29,0
LMEAluminium-validation-1d-2018-05-30,1
LMEAluminium-validation-1d-2018-05-31,1
LMEAluminium-validation-1d-2018-06-01,1
LMEAluminium-validation-1d-2018-06-04,0
LMEAluminium-validation-1d-2018-06-05,1
LMEAluminium-validation-1d-2018-06-06,0
LMEAluminium-validation-1d-2018-06-07,0
LMEAluminium-validation-1d-2018-06-08,1
LMEAluminium-validation-1d-2018-06-11,1
LMEAluminium-validation-1d-2018-06-12,0
LMEAluminium-validation-1d-2018-06-13,0
LMEAluminium-validation-1d-2018-06-14,0
LMEAluminium-validation-1d-2018-06-15,1
LMEAluminium-validation-1d-2018-06-18,0
LMEAluminium-validation-1d-2018-06-19,0
LMEAluminium-validation-1d-2018-06-20,1
LMEAluminium-validation-1d-2018-06-21,0
LMEAluminium-validation-1d-2018-06-22,0
LMEAluminium-validation-1d-2018-06-25,1
LMEAluminium-validation-1d-2018-06-26,1
LMEAluminium-validation-1d-2018-06-27,0
LMEAluminium-validation-1d-2018-06-28,0
LMEAluminium-validation-1d-2018-06-29,0
LMEAluminium-validation-1d-2018-07-02,0
LMEAluminium-validation-1d-2018-07-03,1
LMEAluminium-validation-1d-2018-07-04,0
LMEAluminium-validation-1d-2018-07-05,1
LMEAluminium-validation-1d-2018-07-06,1
LMEAluminium-validation-1d-2018-07-09,0
LMEAluminium-validation-1d-2018-07-10,0
LMEAluminium-validation-1d-2018-07-11,0
LMEAluminium-validation-1d-2018-07-12,0
LMEAluminium-validation-1d-2018-07-13,1
LMEAluminium-validation-1d-2018-07-16,0
LMEAluminium-validation-1d-2018-07-17,0
LMEAluminium-validation-1d-2018-07-18,0
LMEAluminium-validation-1d-2018-07-19,1
LMEAluminium-validation-1d-2018-07-20,0
LMEAluminium-validation-1d-2018-07-23,1
LMEAluminium-validation-1d-2018-07-24,0
LMEAluminium-validation-1d-2018-07-25,1
LMEAluminium-validation-1d-2018-07-26,1
LMEAluminium-validation-1d-2018-07-27,1
LMEAluminium-validation-1d-2018-07-30,0
LMEAluminium-validation-1d-2018-07-31,0
LMEAluminium-validation-1d-2018-08-01,0
LMEAluminium-validation-1d-2018-08-02,0
LMEAluminium-validation-1d-2018-08-03,1
LMEAluminium-validation-1d-2018-08-06,0
LMEAluminium-validation-1d-2018-08-07,1
LMEAluminium-validation-1d-2018-08-08,0
LMEAluminium-validation-1d-2018-08-09,1
LMEAluminium-validation-1d-2018-08-10,0
LMEAluminium-validation-1d-2018-08-13,0
LMEAluminium-validation-1d-2018-08-14,0
LMEAluminium-validation-1d-2018-08-15,1
LMEAluminium-validation-1d-2018-08-16,0
LMEAluminium-validation-1d-2018-08-17,1
LMEAluminium-validation-1d-2018-08-20,0
LMEAluminium-validation-1d-2018-08-21,1
LMEAluminium-validation-1d-2018-08-22,1
LMEAluminium-validation-1d-2018-08-23,1
LMEAluminium-validation-1d-2018-08-24,1
LMEAluminium-validation-1d-2018-08-28,1
LMEAluminium-validation-1d-2018-08-29,0
LMEAluminium-validation-1d-2018-08-30,0
LMEAluminium-validation-1d-2018-08-31,0
LMEAluminium-validation-1d-2018-09-03,0
LMEAluminium-validation-1d-2018-09-04,1
LMEAluminium-validation-1d-2018-09-05,0
LMEAluminium-validation-1d-2018-09-06,1
LMEAluminium-validation-1d-2018-09-07,1
LMEAluminium-validation-1d-2018-09-10,0
LMEAluminium-validation-1d-2018-09-11,1
LMEAluminium-validation-1d-2018-09-12,1
LMEAluminium-validation-1d-2018-09-13,0
LMEAluminium-validation-1d-2018-09-14,0
LMEAluminium-validation-1d-2018-09-17,1
LMEAluminium-validation-1d-2018-09-18,0
LMEAluminium-validation-1d-2018-09-19,1
LMEAluminium-validation-1d-2018-09-20,1
LMEAluminium-validation-1d-2018-09-21,0
LMEAluminium-validation-1d-2018-09-24,1
LMEAluminium-validation-1d-2018-09-25,0
LMEAluminium-validation-1d-2018-09-26,0
LMEAluminium-validation-1d-2018-09-27,1
LMEAluminium-validation-1d-2018-09-28,1
LMEAluminium-validation-1d-2018-10-01,1
LMEAluminium-validation-1d-2018-10-02,1
LMEAluminium-validation-1d-2018-10-03,0
LMEAluminium-validation-1d-2018-10-04,0
LMEAluminium-validation-1d-2018-10-05,0
LMEAluminium-validation-1d-2018-10-08,0
LMEAluminium-validation-1d-2018-10-09,0
LMEAluminium-validation-1d-2018-10-10,0
LMEAluminium-validation-1d-2018-10-11,1
LMEAluminium-validation-1d-2018-10-12,0
LMEAluminium-validation-1d-2018-10-15,0
LMEAluminium-validation-1d-2018-10-16,0
LMEAluminium-validation-1d-2018-10-17,0
LMEAluminium-validation-1d-2018-10-18,0
LMEAluminium-validation-1d-2018-10-19,0
LMEAluminium-validation-1d-2018-10-22,0
LMEAluminium-validation-1d-2018-10-23,0
LMEAluminium-validation-1d-2018-10-24,0
LMEAluminium-validation-1d-2018-10-25,1
LMEAluminium-validation-1d-2018-10-26,0
LMEAluminium-validation-1d-2018-10-29,0
LMEAluminium-validation-1d-2018-10-30,0
LMEAluminium-validation-1d-2018-10-31,1
LMEAluminium-validation-1d-2018-11-01,1
LMEAluminium-validation-1d-2018-11-02,0
LMEAluminium-validation-1d-2018-11-05,0
LMEAluminium-validation-1d-2018-11-06,1
LMEAluminium-validation-1d-2018-11-07,1
LMEAluminium-validation-1d-2018-11-08,0
LMEAluminium-validation-1d-2018-11-09,0
LMEAluminium-validation-1d-2018-11-12,0
LMEAluminium-validation-1d-2018-11-13,1
LMEAluminium-validation-1d-2018-11-14,0
LMEAluminium-validation-1d-2018-11-15,1
LMEAluminium-validation-1d-2018-11-16,0
LMEAluminium-validation-1d-2018-11-19,1
LMEAluminium-validation-1d-2018-11-20,1
LMEAluminium-validation-1d-2018-11-21,0
LMEAluminium-validation-1d-2018-11-22,1
LMEAluminium-validation-1d-2018-11-23,1
LMEAluminium-validation-1d-2018-11-26,0
LMEAluminium-validation-1d-2018-11-27,1
LMEAluminium-validation-1d-2018-11-28,1
LMEAluminium-validation-1d-2018-11-29,1
LMEAluminium-validation-1d-2018-11-30,1
LMEAluminium-validation-1d-2018-12-03,1
LMEAluminium-validation-1d-2018-12-04,0
LMEAluminium-validation-1d-2018-12-05,0
LMEAluminium-validation-1d-2018-12-06,1
LMEAluminium-validation-1d-2018-12-07,0
LMEAluminium-validation-1d-2018-12-10,0
LMEAluminium-validation-1d-2018-12-11,0
LMEAluminium-validation-1d-2018-12-12,0
LMEAluminium-validation-1d-2018-12-13,0
LMEAluminium-validation-1d-2018-12-14,1
LMEAluminium-validation-1d-2018-12-17,0
LMEAluminium-validation-1d-2018-12-18,1
LMEAluminium-validation-1d-2018-12-19,0
LMEAluminium-validation-1d-2018-12-20,0
LMEAluminium-validation-1d-2018-12-21,0
LMEAluminium-validation-1d-2018-12-24,0
LMEAluminium-validation-1d-2018-12-27,1
LMEAluminium-validation-1d-2018-12-28,1
LMEAluminium-validation-1d-2018-12-31,0
LMENickel-validation-20d-2018-01-02,1
LMENickel-validation-20d-2018-01-03,1
LMENickel-validation-20d-2018-01-04,1
LMENickel-validation-20d-2018-01-05,1
LMENickel-validation-20d-2018-01-08,1
LMENickel-validation-20d-2018-01-09,1
LMENickel-validation-20d-2018-01-10,1
LMENickel-validation-20d-2018-01-11,1
LMENickel-validation-20d-2018-01-12,1
LMENickel-validation-20d-2018-01-15,1
LMENickel-validation-20d-2018-01-16,1
LMENickel-validation-20d-2018-01-17,1
LMENickel-validation-20d-2018-01-18,1
LMENickel-validation-20d-2018-01-19,1
LMENickel-validation-20d-2018-01-22,1
LMENickel-validation-20d-2018-01-23,1
LMENickel-validation-20d-2018-01-24,1
LMENickel-validation-20d-2018-01-25,1
LMENickel-validation-20d-2018-01-26,1
LMENickel-validation-20d-2018-01-29,1
LMENickel-validation-20d-2018-01-30,1
LMENickel-validation-20d-2018-01-31,1
LMENickel-validation-20d-2018-02-01,0
LMENickel-validation-20d-2018-02-02,1
LMENickel-validation-20d-2018-02-05,0
LMENickel-validation-20d-2018-02-06,1
LMENickel-validation-20d-2018-02-07,1
LMENickel-validation-20d-2018-02-08,1
LMENickel-validation-20d-2018-02-09,1
LMENickel-validation-20d-2018-02-12,1
LMENickel-validation-20d-2018-02-13,1
LMENickel-validation-20d-2018-02-14,0
LMENickel-validation-20d-2018-02-15,0
LMENickel-validation-20d-2018-02-16,0
LMENickel-validation-20d-2018-02-19,0
LMENickel-validation-20d-2018-02-20,0
LMENickel-validation-20d-2018-02-21,0
LMENickel-validation-20d-2018-02-22,0
LMENickel-validation-20d-2018-02-23,0
LMENickel-validation-20d-2018-02-26,0
LMENickel-validation-20d-2018-02-27,0
LMENickel-validation-20d-2018-02-28,0
LMENickel-validation-20d-2018-03-01,0
LMENickel-validation-20d-2018-03-02,1
LMENickel-validation-20d-2018-03-05,0
LMENickel-validation-20d-2018-03-06,0
LMENickel-validation-20d-2018-03-07,0
LMENickel-validation-20d-2018-03-08,1
LMENickel-validation-20d-2018-03-09,0
LMENickel-validation-20d-2018-03-12,1
LMENickel-validation-20d-2018-03-13,0
LMENickel-validation-20d-2018-03-14,1
LMENickel-validation-20d-2018-03-15,1
LMENickel-validation-20d-2018-03-16,1
LMENickel-validation-20d-2018-03-19,1
LMENickel-validation-20d-2018-03-20,1
LMENickel-validation-20d-2018-03-21,1
LMENickel-validation-20d-2018-03-22,1
LMENickel-validation-20d-2018-03-23,1
LMENickel-validation-20d-2018-03-26,1
LMENickel-validation-20d-2018-03-27,1
LMENickel-validation-20d-2018-03-28,1
LMENickel-validation-20d-2018-03-29,1
LMENickel-validation-20d-2018-04-03,1
LMENickel-validation-20d-2018-04-04,1
LMENickel-validation-20d-2018-04-05,1
LMENickel-validation-20d-2018-04-06,1
LMENickel-validation-20d-2018-04-09,1
LMENickel-validation-20d-2018-04-10,1
LMENickel-validation-20d-2018-04-11,0
LMENickel-validation-20d-2018-04-12,1
LMENickel-validation-20d-2018-04-13,1
LMENickel-validation-20d-2018-04-16,1
LMENickel-validation-20d-2018-04-17,1
LMENickel-validation-20d-2018-04-18,0
LMENickel-validation-20d-2018-04-19,0
LMENickel-validation-20d-2018-04-20,0
LMENickel-validation-20d-2018-04-23,1
LMENickel-validation-20d-2018-04-24,1
LMENickel-validation-20d-2018-04-25,1
LMENickel-validation-20d-2018-04-26,1
LMENickel-validation-20d-2018-04-27,1
LMENickel-validation-20d-2018-04-30,1
LMENickel-validation-20d-2018-05-01,1
LMENickel-validation-20d-2018-05-02,1
LMENickel-validation-20d-2018-05-03,1
LMENickel-validation-20d-2018-05-04,1
LMENickel-validation-20d-2018-05-08,1
LMENickel-validation-20d-2018-05-09,1
LMENickel-validation-20d-2018-05-10,1
LMENickel-validation-20d-2018-05-11,1
LMENickel-validation-20d-2018-05-14,1
LMENickel-validation-20d-2018-05-15,1
LMENickel-validation-20d-2018-05-16,1
LMENickel-validation-20d-2018-05-17,1
LMENickel-validation-20d-2018-05-18,1
LMENickel-validation-20d-2018-05-21,0
LMENickel-validation-20d-2018-05-22,1
LMENickel-validation-20d-2018-05-23,1
LMENickel-validation-20d-2018-05-24,1
LMENickel-validation-20d-2018-05-25,0
LMENickel-validation-20d-2018-05-29,0
LMENickel-validation-20d-2018-05-30,0
LMENickel-validation-20d-2018-05-31,0
LMENickel-validation-20d-2018-06-01,0
LMENickel-validation-20d-2018-06-04,0
LMENickel-validation-20d-2018-06-05,0
LMENickel-validation-20d-2018-06-06,0
LMENickel-validation-20d-2018-06-07,0
LMENickel-validation-20d-2018-06-08,0
LMENickel-validation-20d-2018-06-11,0
LMENickel-validation-20d-2018-06-12,0
LMENickel-validation-20d-2018-06-13,0
LMENickel-validation-20d-2018-06-14,0
LMENickel-validation-20d-2018-06-15,0
LMENickel-validation-20d-2018-06-18,0
LMENickel-validation-20d-2018-06-19,0
LMENickel-validation-20d-2018-06-20,0
LMENickel-validation-20d-2018-06-21,0
LMENickel-validation-20d-2018-06-22,0
LMENickel-validation-20d-2018-06-25,0
LMENickel-validation-20d-2018-06-26,0
LMENickel-validation-20d-2018-06-27,0
LMENickel-validation-20d-2018-06-28,0
LMENickel-validation-20d-2018-06-29,0
LMENickel-validation-20d-2018-07-02,0
LMENickel-validation-20d-2018-07-03,0
LMENickel-validation-20d-2018-07-04,0
LMENickel-validation-20d-2018-07-05,0
LMENickel-validation-20d-2018-07-06,0
LMENickel-validation-20d-2018-07-09,0
LMENickel-validation-20d-2018-07-10,0
LMENickel-validation-20d-2018-07-11,1
LMENickel-validation-20d-2018-07-12,0
LMENickel-validation-20d-2018-07-13,0
LMENickel-validation-20d-2018-07-16,0
LMENickel-validation-20d-2018-07-17,0
LMENickel-validation-20d-2018-07-18,0
LMENickel-validation-20d-2018-07-19,0
LMENickel-validation-20d-2018-07-20,0
LMENickel-validation-20d-2018-07-23,1
LMENickel-validation-20d-2018-07-24,0
LMENickel-validation-20d-2018-07-25,0
LMENickel-validation-20d-2018-07-26,0
LMENickel-validation-20d-2018-07-27,0
LMENickel-validation-20d-2018-07-30,0
LMENickel-validation-20d-2018-07-31,0
LMENickel-validation-20d-2018-08-01,0
LMENickel-validation-20d-2018-08-02,0
LMENickel-validation-20d-2018-08-03,0
LMENickel-validation-20d-2018-08-06,0
LMENickel-validation-20d-2018-08-07,0
LMENickel-validation-20d-2018-08-08,0
LMENickel-validation-20d-2018-08-09,0
LMENickel-validation-20d-2018-08-10,0
LMENickel-validation-20d-2018-08-13,0
LMENickel-validation-20d-2018-08-14,0
LMENickel-validation-20d-2018-08-15,0
LMENickel-validation-20d-2018-08-16,0
LMENickel-validation-20d-2018-08-17,0
LMENickel-validation-20d-2018-08-20,0
LMENickel-validation-20d-2018-08-21,0
LMENickel-validation-20d-2018-08-22,0
LMENickel-validation-20d-2018-08-23,0
LMENickel-validation-20d-2018-08-24,0
LMENickel-validation-20d-2018-08-28,0
LMENickel-validation-20d-2018-08-29,0
LMENickel-validation-20d-2018-08-30,0
LMENickel-validation-20d-2018-08-31,0
LMENickel-validation-20d-2018-09-03,0
LMENickel-validation-20d-2018-09-04,1
LMENickel-validation-20d-2018-09-05,1
LMENickel-validation-20d-2018-09-06,1
LMENickel-validation-20d-2018-09-07,1
LMENickel-validation-20d-2018-09-10,1
LMENickel-validation-20d-2018-09-11,1
LMENickel-validation-20d-2018-09-12,1
LMENickel-validation-20d-2018-09-13,1
LMENickel-validation-20d-2018-09-14,1
LMENickel-validation-20d-2018-09-17,1
LMENickel-validation-20d-2018-09-18,1
LMENickel-validation-20d-2018-09-19,0
LMENickel-validation-20d-2018-09-20,0
LMENickel-validation-20d-2018-09-21,0
LMENickel-validation-20d-2018-09-24,0
LMENickel-validation-20d-2018-09-25,0
LMENickel-validation-20d-2018-09-26,0
LMENickel-validation-20d-2018-09-27,0
LMENickel-validation-20d-2018-09-28,0
LMENickel-validation-20d-2018-10-01,0
LMENickel-validation-20d-2018-10-02,0
LMENickel-validation-20d-2018-10-03,0
LMENickel-validation-20d-2018-10-04,0
LMENickel-validation-20d-2018-10-05,0
LMENickel-validation-20d-2018-10-08,0
LMENickel-validation-20d-2018-10-09,0
LMENickel-validation-20d-2018-10-10,0
LMENickel-validation-20d-2018-10-11,0
LMENickel-validation-20d-2018-10-12,0
LMENickel-validation-20d-2018-10-15,0
LMENickel-validation-20d-2018-10-16,0
LMENickel-validation-20d-2018-10-17,0
LMENickel-validation-20d-2018-10-18,0
LMENickel-validation-20d-2018-10-19,0
LMENickel-validation-20d-2018-10-22,0
LMENickel-validation-20d-2018-10-23,0
LMENickel-validation-20d-2018-10-24,0
LMENickel-validation-20d-2018-10-25,0
LMENickel-validation-20d-2018-10-26,0
LMENickel-validation-20d-2018-10-29,0
LMENickel-validation-20d-2018-10-30,0
LMENickel-validation-20d-2018-10-31,0
LMENickel-validation-20d-2018-11-01,0
LMENickel-validation-20d-2018-11-02,0
LMENickel-validation-20d-2018-11-05,0
LMENickel-validation-20d-2018-11-06,0
LMENickel-validation-20d-2018-11-07,0
LMENickel-validation-20d-2018-11-08,0
LMENickel-validation-20d-2018-11-09,0
LMENickel-validation-20d-2018-11-12,0
LMENickel-validation-20d-2018-11-13,0
LMENickel-validation-20d-2018-11-14,0
LMENickel-validation-20d-2018-11-15,0
LMENickel-validation-20d-2018-11-16,0
LMENickel-validation-20d-2018-11-19,0
LMENickel-validation-20d-2018-11-20,0
LMENickel-validation-20d-2018-11-21,0
LMENickel-validation-20d-2018-11-22,0
LMENickel-validation-20d-2018-11-23,0
LMENickel-validation-20d-2018-11-26,0
LMENickel-validation-20d-2018-11-27,0
LMENickel-validation-20d-2018-11-28,0
LMENickel-validation-20d-2018-11-29,0
LMENickel-validation-20d-2018-11-30,0
LMENickel-validation-20d-2018-12-03,0
LMENickel-validation-20d-2018-12-04,0
LMENickel-validation-20d-2018-12-05,0
LMENickel-validation-20d-2018-12-06,1
LMENickel-validation-20d-2018-12-07,1
LMENickel-validation-20d-2018-12-10,1
LMENickel-validation-20d-2018-12-11,1
LMENickel-validation-20d-2018-12-12,1
LMENickel-validation-20d-2018-12-13,1
LMENickel-validation-20d-2018-12-14,1
LMENickel-validation-20d-2018-12-17,1
LMENickel-validation-20d-2018-12-18,1
LMENickel-validation-20d-2018-12-19,1
LMENickel-validation-20d-2018-12-20,1
LMENickel-validation-20d-2018-12-21,1
LMENickel-validation-20d-2018-12-24,1
LMENickel-validation-20d-2018-12-27,1
LMENickel-validation-20d-2018-12-28,1
LMENickel-validation-20d-2018-12-31,1
LMENickel-validation-1d-2018-01-02,0
LMENickel-validation-1d-2018-01-03,1
LMENickel-validation-1d-2018-01-04,0
LMENickel-validation-1d-2018-01-05,0
LMENickel-validation-1d-2018-01-08,1
LMENickel-validation-1d-2018-01-09,1
LMENickel-validation-1d-2018-01-10,0
LMENickel-validation-1d-2018-01-11,1
LMENickel-validation-1d-2018-01-12,1
LMENickel-validation-1d-2018-01-15,0
LMENickel-validation-1d-2018-01-16,0
LMENickel-validation-1d-2018-01-17,1
LMENickel-validation-1d-2018-01-18,1
LMENickel-validation-1d-2018-01-19,1
LMENickel-validation-1d-2018-01-22,1
LMENickel-validation-1d-2018-01-23,1
LMENickel-validation-1d-2018-01-24,1
LMENickel-validation-1d-2018-01-25,0
LMENickel-validation-1d-2018-01-26,1
LMENickel-validation-1d-2018-01-29,0
LMENickel-validation-1d-2018-01-30,1
LMENickel-validation-1d-2018-01-31,1
LMENickel-validation-1d-2018-02-01,0
LMENickel-validation-1d-2018-02-02,1
LMENickel-validation-1d-2018-02-05,0
LMENickel-validation-1d-2018-02-06,0
LMENickel-validation-1d-2018-02-07,0
LMENickel-validation-1d-2018-02-08,0
LMENickel-validation-1d-2018-02-09,1
LMENickel-validation-1d-2018-02-12,1
LMENickel-validation-1d-2018-02-13,1
LMENickel-validation-1d-2018-02-14,1
LMENickel-validation-1d-2018-02-15,0
LMENickel-validation-1d-2018-02-16,0
LMENickel-validation-1d-2018-02-19,1
LMENickel-validation-1d-2018-02-20,1
LMENickel-validation-1d-2018-02-21,0
LMENickel-validation-1d-2018-02-22,0
LMENickel-validation-1d-2018-02-23,1
LMENickel-validation-1d-2018-02-26,0
LMENickel-validation-1d-2018-02-27,0
LMENickel-validation-1d-2018-02-28,0
LMENickel-validation-1d-2018-03-01,0
LMENickel-validation-1d-2018-03-02,0
LMENickel-validation-1d-2018-03-05,1
LMENickel-validation-1d-2018-03-06,0
LMENickel-validation-1d-2018-03-07,0
LMENickel-validation-1d-2018-03-08,1
LMENickel-validation-1d-2018-03-09,0
LMENickel-validation-1d-2018-03-12,1
LMENickel-validation-1d-2018-03-13,0
LMENickel-validation-1d-2018-03-14,0
LMENickel-validation-1d-2018-03-15,0
LMENickel-validation-1d-2018-03-16,0
LMENickel-validation-1d-2018-03-19,0
LMENickel-validation-1d-2018-03-20,1
LMENickel-validation-1d-2018-03-21,0
LMENickel-validation-1d-2018-03-22,0
LMENickel-validation-1d-2018-03-23,1
LMENickel-validation-1d-2018-03-26,1
LMENickel-validation-1d-2018-03-27,1
LMENickel-validation-1d-2018-03-28,1
LMENickel-validation-1d-2018-03-29,1
LMENickel-validation-1d-2018-04-03,0
LMENickel-validation-1d-2018-04-04,1
LMENickel-validation-1d-2018-04-05,0
LMENickel-validation-1d-2018-04-06,1
LMENickel-validation-1d-2018-04-09,1
LMENickel-validation-1d-2018-04-10,1
LMENickel-validation-1d-2018-04-11,0
LMENickel-validation-1d-2018-04-12,1
LMENickel-validation-1d-2018-04-13,1
LMENickel-validation-1d-2018-04-16,0
LMENickel-validation-1d-2018-04-17,1
LMENickel-validation-1d-2018-04-18,0
LMENickel-validation-1d-2018-04-19,0
LMENickel-validation-1d-2018-04-20,0
LMENickel-validation-1d-2018-04-23,0
LMENickel-validation-1d-2018-04-24,1
LMENickel-validation-1d-2018-04-25,1
LMENickel-validation-1d-2018-04-26,0
LMENickel-validation-1d-2018-04-27,0
LMENickel-validation-1d-2018-04-30,1
LMENickel-validation-1d-2018-05-01,1
LMENickel-validation-1d-2018-05-02,0
LMENickel-validation-1d-2018-05-03,1
LMENickel-validation-1d-2018-05-04,0
LMENickel-validation-1d-2018-05-08,1
LMENickel-validation-1d-2018-05-09,0
LMENickel-validation-1d-2018-05-10,1
LMENickel-validation-1d-2018-05-11,1
LMENickel-validation-1d-2018-05-14,0
LMENickel-validation-1d-2018-05-15,1
LMENickel-validation-1d-2018-05-16,1
LMENickel-validation-1d-2018-05-17,1
LMENickel-validation-1d-2018-05-18,0
LMENickel-validation-1d-2018-05-21,1
LMENickel-validation-1d-2018-05-22,0
LMENickel-validation-1d-2018-05-23,1
LMENickel-validation-1d-2018-05-24,0
LMENickel-validation-1d-2018-05-25,1
LMENickel-validation-1d-2018-05-29,1
LMENickel-validation-1d-2018-05-30,1
LMENickel-validation-1d-2018-05-31,1
LMENickel-validation-1d-2018-06-01,1
LMENickel-validation-1d-2018-06-04,1
LMENickel-validation-1d-2018-06-05,0
LMENickel-validation-1d-2018-06-06,0
LMENickel-validation-1d-2018-06-07,0
LMENickel-validation-1d-2018-06-08,0
LMENickel-validation-1d-2018-06-11,0
LMENickel-validation-1d-2018-06-12,1
LMENickel-validation-1d-2018-06-13,0
LMENickel-validation-1d-2018-06-14,0
LMENickel-validation-1d-2018-06-15,0
LMENickel-validation-1d-2018-06-18,0
LMENickel-validation-1d-2018-06-19,1
LMENickel-validation-1d-2018-06-20,1
LMENickel-validation-1d-2018-06-21,1
LMENickel-validation-1d-2018-06-22,0
LMENickel-validation-1d-2018-06-25,1
LMENickel-validation-1d-2018-06-26,1
LMENickel-validation-1d-2018-06-27,0
LMENickel-validation-1d-2018-06-28,1
LMENickel-validation-1d-2018-06-29,0
LMENickel-validation-1d-2018-07-02,0
LMENickel-validation-1d-2018-07-03,0
LMENickel-validation-1d-2018-07-04,1
LMENickel-validation-1d-2018-07-05,0
LMENickel-validation-1d-2018-07-06,1
LMENickel-validation-1d-2018-07-09,0
LMENickel-validation-1d-2018-07-10,0
LMENickel-validation-1d-2018-07-11,1
LMENickel-validation-1d-2018-07-12,0
LMENickel-validation-1d-2018-07-13,0
LMENickel-validation-1d-2018-07-16,0
LMENickel-validation-1d-2018-07-17,1
LMENickel-validation-1d-2018-07-18,0
LMENickel-validation-1d-2018-07-19,1
LMENickel-validation-1d-2018-07-20,0
LMENickel-validation-1d-2018-07-23,1
LMENickel-validation-1d-2018-07-24,1
LMENickel-validation-1d-2018-07-25,1
LMENickel-validation-1d-2018-07-26,1
LMENickel-validation-1d-2018-07-27,0
LMENickel-validation-1d-2018-07-30,1
LMENickel-validation-1d-2018-07-31,0
LMENickel-validation-1d-2018-08-01,0
LMENickel-validation-1d-2018-08-02,1
LMENickel-validation-1d-2018-08-03,1
LMENickel-validation-1d-2018-08-06,1
LMENickel-validation-1d-2018-08-07,1
LMENickel-validation-1d-2018-08-08,0
LMENickel-validation-1d-2018-08-09,0
LMENickel-validation-1d-2018-08-10,0
LMENickel-validation-1d-2018-08-13,0
LMENickel-validation-1d-2018-08-14,0
LMENickel-validation-1d-2018-08-15,1
LMENickel-validation-1d-2018-08-16,1
LMENickel-validation-1d-2018-08-17,1
LMENickel-validation-1d-2018-08-20,0
LMENickel-validation-1d-2018-08-21,0
LMENickel-validation-1d-2018-08-22,0
LMENickel-validation-1d-2018-08-23,1
LMENickel-validation-1d-2018-08-24,1
LMENickel-validation-1d-2018-08-28,0
LMENickel-validation-1d-2018-08-29,0
LMENickel-validation-1d-2018-08-30,0
LMENickel-validation-1d-2018-08-31,0
LMENickel-validation-1d-2018-09-03,0
LMENickel-validation-1d-2018-09-04,0
LMENickel-validation-1d-2018-09-05,0
LMENickel-validation-1d-2018-09-06,0
LMENickel-validation-1d-2018-09-07,1
LMENickel-validation-1d-2018-09-10,0
LMENickel-validation-1d-2018-09-11,1
LMENickel-validation-1d-2018-09-12,0
LMENickel-validation-1d-2018-09-13,1
LMENickel-validation-1d-2018-09-14,0
